Deal,URL HubSpot,Pipeline,Etapa,Executivo,Produto,Vidas,Colaboradores,1ª Fatura (R$),ARR Estimado (R$),Modelo,Agenciamento,Vitalício,Probabilidade (%),Quarter,Data Prevista,Dias no Pipe,Jun/26 Real (R$),Jul/26 Real (R$),Ago/26 Real (R$),Set/26 Real (R$),Out/26 Real (R$),Nov/26 Real (R$),Dez/26 Real (R$),Jan/27 Real (R$),Fev/27 Real (R$),Mar/27 Real (R$),Abr/27 Real (R$),Mai/27 Real (R$),Jun/27 Real (R$),Jul/27 Real (R$),Ago/27 Real (R$),Set/27 Real (R$),Out/27 Real (R$),Nov/27 Real (R$),Dez/27 Real (R$),Jan/28 Real (R$),Fev/28 Real (R$),Mar/28 Real (R$),Abr/28 Real (R$),Mai/28 Real (R$),Jun/26 Prob (R$),Jul/26 Prob (R$),Ago/26 Prob (R$),Set/26 Prob (R$),Out/26 Prob (R$),Nov/26 Prob (R$),Dez/26 Prob (R$),Jan/27 Prob (R$),Fev/27 Prob (R$),Mar/27 Prob (R$),Abr/27 Prob (R$),Mai/27 Prob (R$),Jun/27 Prob (R$),Jul/27 Prob (R$),Ago/27 Prob (R$),Set/27 Prob (R$),Out/27 Prob (R$),Nov/27 Prob (R$),Dez/27 Prob (R$),Jan/28 Prob (R$),Fev/28 Prob (R$),Mar/28 Prob (R$),Abr/28 Prob (R$),Mai/28 Prob (R$)
Tecnoclin Saude Ltda,https://app.hubspot.com/contacts/44715285/deal/58025380765,Vendas,Cotação,Guilherme Gabiatti,Gestão de saúde,8,8,5000,60000,Fee por vida,Não,Não,5,Q3,31/12/2026,87,,,,,,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Befly,https://app.hubspot.com/contacts/44715285/deal/58208818828,Vendas,Consultoria,Fausto Haderspeck,Gestão de saúde,3066,2113,30660,367920,Fee por vida,Não,Não,80,Q3,30/09/2026,84,,,,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,,,,24528,24528,24528,24528,24528,24528,24528,24528,24528,24528,24528,24528,24528,24528,24528,24528,24528,24528,24528,24528,24528
CMotta Advogados,https://app.hubspot.com/contacts/44715285/deal/58295866225,Vendas,Implantação,Ágatta Marinho,Saúde,11,6,16404,52164.72,Corretagem,Sim,Sim,100,Q2,31/07/2026,80,,16404,16404,16404,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,,16404,16404,16404,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328
PharmaInova,https://app.hubspot.com/contacts/44715285/deal/58295682842,Vendas,Implantação,Guilherme Gabiatti,"Saúde;Odonto",32,92,16000,50880,Corretagem,Sim,Sim,90,Q2,31/08/2026,80,,,16000,16000,16000,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,,,14400,14400,14400,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288
Biomedical,https://app.hubspot.com/contacts/44715285/deal/58368999052,Vendas,Cotação,Guilherme Gabiatti,,169,45,,,Corretagem,Não,Sim,15,Q4,30/11/2026,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applause,https://app.hubspot.com/contacts/44715285/deal/58827771177,Vendas,Consultoria,André Pontes,Saúde,28,28,8510.99,27064.9482,Corretagem,Sim,Sim,35,Q3,30/09/2026,67,,,,8511,8511,8511,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,,,,2979,2979,2979,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
R L FERREIRA CONSULTORIA COMERCIAL LTDA,https://app.hubspot.com/contacts/44715285/deal/58986167402,Vendas,Ganho,Ágatta Marinho,,3,1,418.23,5018.76,Corretagem,,,100,Q2,01/05/2026,65,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
JP PRODUÇÕES CULTURAIS,https://app.hubspot.com/contacts/44715285/deal/59086364445,Vendas,Consultoria,Juliana Dalberto,"Odonto;Saúde;Vida",3,3,1934.24,6150.8832,Corretagem,Sim,Sim,30,Q2,30/06/2026,63,1934,1934,1934,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,580,580,580,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Schmidt Agrícola,https://app.hubspot.com/contacts/44715285/deal/59153693440,Vendas,Cotação,Juliana Dalberto,Saúde,384,700,117843,176764.5,Corretagem,Sim,Sim,10,Q3,01/11/2026,60,,,,,,111951,5892,5892,5892,5892,5892,5892,5892,5892,5892,5892,5892,5892,5892,5892,5892,5892,5892,5892,,,,,,11195,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589
Santos Brasil,https://app.hubspot.com/contacts/44715285/deal/59171673413,Vendas,Cotação,Rafael Leite,"Saúde;Odonto;Gestão de saúde",11000,3480,58500,87750,Corretagem,Sim,Sim,35,Q3 2027,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
