Deal,URL HubSpot,Pipeline,Etapa,Executivo,Produto,Vidas,Colaboradores,1ª Fatura (R$),ARR Estimado (R$),Modelo,Agenciamento,Vitalício,Probabilidade (%),Quarter,Data Prevista,Dias no Pipe,Abr/26 Real (R$),Mai/26 Real (R$),Jun/26 Real (R$),Jul/26 Real (R$),Ago/26 Real (R$),Set/26 Real (R$),Out/26 Real (R$),Nov/26 Real (R$),Dez/26 Real (R$),Jan/27 Real (R$),Fev/27 Real (R$),Mar/27 Real (R$),Abr/27 Real (R$),Mai/27 Real (R$),Jun/27 Real (R$),Jul/27 Real (R$),Ago/27 Real (R$),Set/27 Real (R$),Out/27 Real (R$),Nov/27 Real (R$),Dez/27 Real (R$),Jan/28 Real (R$),Fev/28 Real (R$),Mar/28 Real (R$),Abr/26 Prob (R$),Mai/26 Prob (R$),Jun/26 Prob (R$),Jul/26 Prob (R$),Ago/26 Prob (R$),Set/26 Prob (R$),Out/26 Prob (R$),Nov/26 Prob (R$),Dez/26 Prob (R$),Jan/27 Prob (R$),Fev/27 Prob (R$),Mar/27 Prob (R$),Abr/27 Prob (R$),Mai/27 Prob (R$),Jun/27 Prob (R$),Jul/27 Prob (R$),Ago/27 Prob (R$),Set/27 Prob (R$),Out/27 Prob (R$),Nov/27 Prob (R$),Dez/27 Prob (R$),Jan/28 Prob (R$),Fev/28 Prob (R$),Mar/28 Prob (R$)
Goodstorage,https://app.hubspot.com/contacts/44715285/deal/56122124868,Vendas,Negociação,André Pontes,"Saúde;Odonto;Vida",573,260,563000,337800,Corretagem,Não,Sim,70,Q2,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agaxtur,https://app.hubspot.com/contacts/44715285/deal/56162810673,Vendas,Implantação,Rafael Leite,"Saúde;Odonto",64,155,28716,91316.88,Corretagem,Sim,Sim,85,Q2,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mundial,https://app.hubspot.com/contacts/44715285/deal/56200333957,Vendas,Consultoria,Juliana Dalberto,"Gestão de saúde;Saúde",2534,2100,26100,15660,Ambos,Não,Não,10,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arca,https://app.hubspot.com/contacts/44715285/deal/56645838108,Vendas,Ganho,Juliana Dalberto,Saúde,3,3,3189.16,10141.5288,Corretagem,Sim,Sim,100,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRISCILA FREIRE GARCIA CAVINATTI 27255683827,https://app.hubspot.com/contacts/44715285/deal/56709215363,Vendas,Implantação,Rafael Leite,Saúde,3,3,1921.47,6110.2746,Ambos,Sim,Não,85,Q2,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio - Galeria,https://app.hubspot.com/contacts/44715285/deal/56770261794,Vendas,Implantação,Juliana Dalberto,"Odonto;Saúde;Vida",19,150,10500,33390,Corretagem,Sim,Sim,100,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwify - Saúde Ocupacional,https://app.hubspot.com/contacts/44715285/deal/57200665700,Vendas,Cotação,Juliana Dalberto,Gestão de saúde,186,186,1488,17856,Fee por vida,Não,Não,5,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Recovery,https://app.hubspot.com/contacts/44715285/deal/57093521809,Vendas,Negociação,Rafael Leite,"Odonto;Saúde;Vida",381,355,391000,586500,Corretagem,Sim,Sim,85,Q2,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMART,https://app.hubspot.com/contacts/44715285/deal/57452280214,Vendas,Negociação,Juliana Dalberto,"Saúde;Odonto;Vida",55,47,15266.07,48546.1026,Corretagem,Sim,Sim,50,Q2,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmidt Agrícola,https://app.hubspot.com/contacts/44715285/deal/57447731219,Vendas,Implantação,-,Gestão de saúde,280,280,80000,960000,Fee por vida,,,90,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orla,https://app.hubspot.com/contacts/44715285/deal/57538923381,Vendas,Cotação,-,Saúde,24,16,19806.48,62984.6064,Corretagem,Sim,Sim,75,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBSI - Companhia Brasileira de Serviços de Infraestrutura,https://app.hubspot.com/contacts/44715285/deal/57553715563,Vendas,Consultoria,-,"Gestão de saúde;Saúde",5564,5374,48963,587556,Fee por vida,Não,Não,70,Q3,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volpe Capital,https://app.hubspot.com/contacts/44715285/deal/57601634608,Vendas,Negociação,-,"Gestão de saúde;Odonto;Saúde",27,20,64000,15360,Corretagem,Não,Sim,80,Q2,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Mansão Green,https://app.hubspot.com/contacts/44715285/deal/57668941205,Vendas,Cotação,Fausto Haderspeck,Gestão de saúde,98,128,61202.75,194624.745,Corretagem,Sim,Sim,75,Q2,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSP SERVICOS ADMINISTRATIVOS,https://app.hubspot.com/contacts/44715285/deal/57865582975,Vendas,Implantação,-,Saúde,4,1,2431.89,7733.4102,Corretagem,Sim,Sim,100,Q2,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W OLIVEIRA SERVICOS ADMINISTRATIVOS LTDA,https://app.hubspot.com/contacts/44715285/deal/57856234593,Vendas,Cotação,Juliana Dalberto,Saúde,6,,2684,8535.12,Corretagem,Sim,Sim,10,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tecnoclin Saude Ltda,https://app.hubspot.com/contacts/44715285/deal/58025380765,Vendas,Cotação,Guilherme Gabiatti,Gestão de saúde,8,8,,,,,,60,Q3,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Befly,https://app.hubspot.com/contacts/44715285/deal/58208818828,Vendas,Cotação,Fausto Haderspeck,Gestão de saúde,3066,2113,42464.1,509569.2,Fee por vida,Não,Não,80,Q2,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ Rocks,https://app.hubspot.com/contacts/44715285/deal/58208353412,Vendas,Cotação,-,Saúde,16,16,,,Corretagem,Sim,Sim,50,Q3,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3CON Consultoria e Sistemas,https://app.hubspot.com/contacts/44715285/deal/58254804274,Vendas,Cotação,André Pontes,Gestão de saúde,400,230,6000,72000,Fee por vida,Não,Não,15,Q3,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMotta Advogados,https://app.hubspot.com/contacts/44715285/deal/58295866225,Vendas,Implantação,-,Saúde,11,6,16404,52164.72,Corretagem,Sim,Sim,100,Q2,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaInova,https://app.hubspot.com/contacts/44715285/deal/58295682842,Vendas,Consultoria,Guilherme Gabiatti,"Saúde;Odonto",32,92,16000,50880,Corretagem,Sim,Sim,90,Q2,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ourolink,https://app.hubspot.com/contacts/44715285/deal/58295807409,Vendas,Cotação,Rafael Leite,"Saúde;Odonto",20,35,4364,13877.52,Corretagem,Sim,Sim,30,Q2,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endeavor Brasil,https://app.hubspot.com/contacts/44715285/deal/58404263742,Vendas,Cotação,Fausto Haderspeck,Gestão de saúde,33,23,40718.35,129484.353,Corretagem,Sim,Sim,80,Q2,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRB Prime Care,https://app.hubspot.com/contacts/44715285/deal/58630538354,Vendas,Consultoria,Juliana Dalberto,Gestão de saúde,50,,500,6000,Fee por vida,Não,Não,10,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applause,https://app.hubspot.com/contacts/44715285/deal/58827771177,Vendas,Consultoria,André Pontes,Saúde,20,28,8510.99,27064.9482,Corretagem,Sim,Sim,40,Q2,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R L FERREIRA CONSULTORIA COMERCIAL LTDA,https://app.hubspot.com/contacts/44715285/deal/58986167402,Vendas,Ganho,Ágatta Marinho,,3,1,418.23,5018.76,Corretagem,,,100,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP PRODUÇÕES CULTURAIS,https://app.hubspot.com/contacts/44715285/deal/59086364445,Vendas,Consultoria,Juliana Dalberto,"Odonto;Saúde;Vida",3,3,1849.33,5880.8694,Corretagem,Sim,Sim,15,Q2,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmidt Agrícola,https://app.hubspot.com/contacts/44715285/deal/59153693440,Vendas,Cotação,-,Saúde,280,450,88000,132000,Corretagem,Sim,Sim,75,Q3,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Massa,https://app.hubspot.com/contacts/44715285/deal/59171676292,Vendas,Cotação,Juliana Dalberto,,600,600,5610,3366,Ambos,Não,Sim,5,Q4,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optima Estrutural Ltda,https://app.hubspot.com/contacts/44715285/deal/59275099983,Vendas,Negociação,Rafael Leite,Gestão de saúde,80,70,500,6000,Fee por vida,Não,Não,50,Q2,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTAAGIL TECNOLOGIA DA INFORMAÇÃO LTDA,https://app.hubspot.com/contacts/44715285/deal/59277649715,Vendas,Cotação,-,,55,55,,,Corretagem,Sim,Sim,10,Q3,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esset,https://app.hubspot.com/contacts/44715285/deal/59369895713,Vendas,Cotação,Juliana Dalberto,,600,1100,6000,72000,Fee por vida,Não,Não,5,Q4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLOS Prime Holding,https://app.hubspot.com/contacts/44715285/deal/59419231519,Vendas,Consultoria,-,Gestão de saúde,3500,3500,34125,409500,Fee por vida,Não,Não,70,Q3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
